,name,dimensions,subscript,value,units,doc
54,S Environmental Testing decline rate,NA_character_,NA_character_,0.005,Dollars Per Year,CRITICAL: The rate at which S Environmental Testing resources decrease naturally pre-outbreak. The units is utiles.
55,S Contact tracing increase rate,NA_character_,NA_character_,0.01,Per Day,CRITICAL: The rate at which S Contact resources increase naturally pre-outbreak. The units is utiles.
56,S Contact tracing decline rate,NA_character_,NA_character_,0.005,units per year,CRITICAL: The rate at which S Contact resources decrease naturally pre-outbreak. The units is utiles.
57,S Surveillance increase rate,NA_character_,NA_character_,0.01,Per Day,CRITICAL: The rate at which S Surveillance resources increase naturally pre-outbreak. The units is utiles.
58,S Surveillance decline rate,NA_character_,NA_character_,0.01,Person per day,CRITICAL: The rate at which S Surveillance resources decrease naturally pre-outbreak. The units is utiles.
59,S Exposure Notification increase rate,NA_character_,NA_character_,0.01,Per Day,CRITICAL: The rate at which S Exposure Notification resources increase naturally pre-outbreak. The units is utiles.
60,S Exposure Notification\ndecline rate,NA_character_,NA_character_,0.01,Persons Per Day,CRITICAL: The rate at which S Exposure Notification resources decrease naturally pre-outbreak. The units is utiles.
61,U Financial increase rate,NA_character_,NA_character_,0.01,Dollars Per Day,CRITICAL: The rate at which U Financial resources increase naturally pre-outbreak. The units is utiles.
62,U Financial decline rate,NA_character_,NA_character_,0.005,Dollars Per Year,CRITICAL: The rate at which U Financial resources decrease naturally pre-outbreak. The units is utiles.
63,U Social increase rate,NA_character_,NA_character_,0.01,units Per Day,CRITICAL: The rate at which U Social resources increase naturally pre-outbreak. The units is utiles.
64,U Social decline rate,NA_character_,NA_character_,0.005,units per day,CRITICAL: The rate at which U Social resources decrease naturally pre-outbreak. The units is utiles.
65,U Human increase rate,NA_character_,NA_character_,0.01,utiles Per Day,CRITICAL: The rate at which U Human resources decrease naturally pre-outbreak. The units is utiles.
66,U Human decline rate,NA_character_,NA_character_,0.01,utiles per day,CRITICAL: The rate at which U Human resources decrease naturally pre-outbreak. The units is utiles.
67,U Other increase rate,NA_character_,NA_character_,0.01,utiles Per Day,CRITICAL: The rate at which U Other resources increase naturally pre-outbreak. The units is utiles.
68,U Other decline rate,NA_character_,NA_character_,0.01,Dollars Per Day,CRITICAL: The rate at which U Other resources decrease naturally pre-outbreak. The units is utiles.
69,E Financial increase rate,NA_character_,NA_character_,0.01,Per Day,CRITICAL: The rate at which E Financial resources increase naturally pre-outbreak. The units is utiles.
70,E Financial decline rate,NA_character_,NA_character_,0.005,Dollars Per Year,CRITICAL: The rate at which E Human resources decrease naturally pre-outbreak. The units is utiles.
71,E Social increase rate,NA_character_,NA_character_,0.01,Per Day,CRITICAL: The rate at which E Social resources increase naturally pre-outbreak. The units is utiles.
72,E Social decline rate,NA_character_,NA_character_,0.005,units per year,CRITICAL: The rate at which E Social resources decrease naturally pre-outbreak. The units is utiles.
73,E Human increase rate,NA_character_,NA_character_,0.01,Per Day,CRITICAL: The rate at which E Human resources increase naturally pre-outbreak. The units is utiles.
74,E Human decline rate,NA_character_,NA_character_,0.01,Person per day,CRITICAL: The rate at which E Human resources decrease naturally pre-outbreak. The units is utiles.
75,E Other increase rate,NA_character_,NA_character_,0.01,Per Day,CRITICAL: The rate at which E Other increase naturally pre-outbreak. The units is utiles.
76,E Other decline rate,NA_character_,NA_character_,0.01,Dollars Per Day,CRITICAL: The rate at which E Other decreases naturally pre-outbreak. The units is utiles.
77,global change\nstart,NA_character_,NA_character_,60.0,Days,NA_character_
78,community\npopulation,NA_character_,NA_character_,1000000.0,Person,NA_character_
79,global change\nduration,NA_character_,NA_character_,14.0,Days,global setting
80,testing smooth\ntime,NA_character_,NA_character_,7.0,Days,LOW: How spreadout are the impacts of testing
81,HC Other exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
82,HC Human exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
83,HC Social exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
84,HC Financial exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
85,E Other exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
86,E Human exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
87,E Social exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
88,E Financial exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
89,U Other exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
90,U Human exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
91,U Social exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
92,U Financial exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
93,S Exposure Notification exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
94,S Surveillance exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
95,S Contact tracing exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
96,S Environmental Testing exponent,NA_character_,NA_character_,0.25,Dmnl,NA_character_
