ZIP Code,Model,Strategy,Average Allocation,Minimum Allocation,Maximum Allocation,Range
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Public Sanitation and Hygiene Campaigns,500,500,500,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Establishment of Quarantine and Isolation Facilities,500,500,500,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Telehealth Services Expansion,1000,1000,1000,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,Promotion of Home Isolation and Self-Quarantine Measures,1000,1000,1000,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,1. Widespread Testing Initiatives,1500,1500,1500,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,3. Targeted Public Health Campaigns,1000,1000,1000,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,4. Enforced Social Distancing Measures,1200,1200,1200,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,5. Comprehensive Contact Tracing Programs,1500,1500,1500,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,10. Telehealth Services Expansion,800,800,800,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,16. Food Security and Nutrition Programs,1000,1000,1000,0
91902,meta-llama/Meta-Llama-3.1-70B-Instruct,18. Public Sanitation and Hygiene Campaigns,1000,1000,1000,0
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,Widespread Testing Initiatives,1500,1500,1500,0
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,Enforced Social Distancing Measures,1000,1000,1000,0
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,Comprehensive Contact Tracing Programs,1000,1000,1000,0
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,Establishment of Quarantine and Isolation Facilities,1500,1500,1500,0
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,Expansion of Healthcare Capacity,2166.666667,2000,2500,500
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,Mental Health Support Services,666.6666667,500,1000,500
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Sanitation and Hygiene Campaigns,700,500,1000,500
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Remote Work and Digital Transformation,900,500,2000,1500
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,Legal and Regulatory Adjustments for Pandemic Response,700,500,1000,500
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,Targeted Public Health Campaigns,1000,1000,1000,0
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Home Isolation and Self-Quarantine Measures,1000,1000,1000,0
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,School Safety and Education Continuity Measures,1500,1500,1500,0
91902,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Transport Safety Enhancements,500,500,500,0
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Widespread Testing Initiatives,2100,2000,2500,500
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Targeted Public Health Campaigns,1600,1500,2000,500
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Enforced Social Distancing Measures,1233.333333,1000,1500,500
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Comprehensive Contact Tracing Programs,1750,1500,2000,500
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Expansion of Healthcare Capacity,1400,1000,2000,1000
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Mental Health Support Services,950,800,1000,200
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Telehealth Services Expansion,1266.666667,800,2000,1200
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Workplace Safety Regulations,800,800,800,0
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Public Transport Safety Enhancements,500,500,500,0
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Food Security and Nutrition Programs,500,500,500,0
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Community Engagement and Mobilization,833.3333333,500,1000,500
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Public Sanitation and Hygiene Campaigns,750,500,1000,500
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Establishment of Quarantine and Isolation Facilities,1500,1500,1500,0
91905,meta-llama/Meta-Llama-3.1-70B-Instruct,Advanced Vaccination Research,1000,1000,1000,0
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Widespread Testing Initiatives,1600,1500,2000,500
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Targeted Public Health Campaigns,1100,1000,1500,500
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Enforced Social Distancing Measures,1000,1000,1000,0
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Comprehensive Contact Tracing Programs,1500,1500,1500,0
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Home Isolation and Self-Quarantine Measures,1000,1000,1000,0
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,School Safety and Education Continuity Measures,1125,1000,1500,500
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Transport Safety Enhancements,666.6666667,500,1000,500
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Food Security and Nutrition Programs,833.3333333,500,1000,500
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Community Engagement and Mobilization,833.3333333,500,1000,500
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Sanitation and Hygiene Campaigns,750,500,1000,500
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Establishment of Quarantine and Isolation Facilities,2000,2000,2000,0
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Expansion of Healthcare Capacity,2000,2000,2000,0
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Mental Health Support Services,500,500,500,0
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Telehealth Services Expansion,500,500,500,0
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Workplace Safety Regulations,1000,1000,1000,0
91905,mistralai/Mixtral-8x7B-Instruct-v0.1,Legal and Regulatory Adjustments for Pandemic Response,2000,2000,2000,0
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Widespread Testing Initiatives,2200,2000,2500,500
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Targeted Public Health Campaigns,1700,1500,2000,500
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Enforced Social Distancing Measures,1280,1000,1500,500
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Expansion of Healthcare Capacity,1360,800,2000,1200
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Mental Health Support Services,1000,1000,1000,0
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Community Engagement and Mobilization,500,500,500,0
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Public Sanitation and Hygiene Campaigns,625,500,1000,500
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Promotion of Remote Work and Digital Transformation,500,500,500,0
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Workplace Safety Regulations,500,500,500,0
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Comprehensive Contact Tracing Programs,1250,1000,1500,500
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Promotion of Home Isolation and Self-Quarantine Measures,666.6666667,500,1000,500
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Telehealth Services Expansion,833.3333333,500,1000,500
91906,meta-llama/Meta-Llama-3.1-70B-Instruct,Legal and Regulatory Adjustments for Pandemic Response,500,500,500,0
91906,mistralai/Mixtral-8x7B-Instruct-v0.1,Widespread Testing Initiatives,1500,1500,1500,0
91906,mistralai/Mixtral-8x7B-Instruct-v0.1,Targeted Public Health Campaigns,1000,1000,1000,0
91906,mistralai/Mixtral-8x7B-Instruct-v0.1,Enforced Social Distancing Measures,1000,1000,1000,0
91906,mistralai/Mixtral-8x7B-Instruct-v0.1,Comprehensive Contact Tracing Programs,1500,1500,1500,0
91906,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Home Isolation and Self-Quarantine Measures,1000,1000,1000,0
91906,mistralai/Mixtral-8x7B-Instruct-v0.1,School Safety and Education Continuity Measures,1000,1000,1000,0
91906,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Transport Safety Enhancements,500,500,500,0
91906,mistralai/Mixtral-8x7B-Instruct-v0.1,Mental Health Support Services,500,500,500,0
91906,mistralai/Mixtral-8x7B-Instruct-v0.1,Economic Support Programs,2000,2000,2000,0
91906,mistralai/Mixtral-8x7B-Instruct-v0.1,Food Security and Nutrition Programs,875,500,1000,500
91906,mistralai/Mixtral-8x7B-Instruct-v0.1,Community Engagement and Mobilization,500,500,500,0
91906,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Sanitation and Hygiene Campaigns,500,500,500,0
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Widespread Testing Initiatives,2100,2000,2500,500
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Advanced Vaccination Research,1500,1500,1500,0
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Targeted Public Health Campaigns,1280,1000,1500,500
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Enforced Social Distancing Measures,960,800,1000,200
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Expansion of Healthcare Capacity,1200,800,2000,1200
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Promotion of Home Isolation and Self-Quarantine Measures,475,100,800,700
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Public Sanitation and Hygiene Campaigns,400,100,500,400
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Community Engagement and Mobilization,400,100,500,400
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Telehealth Services Expansion,650,200,1000,800
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Comprehensive Contact Tracing Programs,1300,1200,1500,300
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Establishment of Quarantine and Isolation Facilities,900,800,1000,200
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Mental Health Support Services,500,500,500,0
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Economic Support Programs,300,300,300,0
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Workplace Safety Regulations,350,200,500,300
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,School Safety and Education Continuity Measures,550,100,1000,900
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,"Enhanced Border, Airport, and Port-of-Entry Surveillance and Control",0,0,0,0
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Public Transport Safety Enhancements,300,100,500,400
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Food Security and Nutrition Programs,100,100,100,0
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Promotion of Remote Work and Digital Transformation,450,100,800,700
91910,meta-llama/Meta-Llama-3.1-70B-Instruct,Legal and Regulatory Adjustments for Pandemic Response,0,0,0,0
91910,mistralai/Mixtral-8x7B-Instruct-v0.1,Widespread Testing Initiatives,1500,1500,1500,0
91910,mistralai/Mixtral-8x7B-Instruct-v0.1,Targeted Public Health Campaigns,1000,1000,1000,0
91910,mistralai/Mixtral-8x7B-Instruct-v0.1,Enforced Social Distancing Measures,1000,1000,1000,0
91910,mistralai/Mixtral-8x7B-Instruct-v0.1,Comprehensive Contact Tracing Programs,1333.333333,1000,1500,500
91910,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Home Isolation and Self-Quarantine Measures,1000,1000,1000,0
91910,mistralai/Mixtral-8x7B-Instruct-v0.1,School Safety and Education Continuity Measures,1100,1000,1500,500
91910,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Transport Safety Enhancements,625,500,1000,500
91910,mistralai/Mixtral-8x7B-Instruct-v0.1,Food Security and Nutrition Programs,750,500,1000,500
91910,mistralai/Mixtral-8x7B-Instruct-v0.1,Community Engagement and Mobilization,875,500,1500,1000
91910,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Sanitation and Hygiene Campaigns,700,500,1000,500
91910,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Remote Work and Digital Transformation,1500,1000,2000,1000
91910,mistralai/Mixtral-8x7B-Instruct-v0.1,Legal and Regulatory Adjustments for Pandemic Response,1500,1500,1500,0
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,Targeted Public Health Campaigns,1500,1000,2000,1000
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,Enforced Social Distancing Measures,1733.333333,1200,2000,800
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,Expansion of Healthcare Capacity,2200,2000,2500,500
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,Telehealth Services Expansion,1166.666667,1000,1500,500
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,Promotion of Home Isolation and Self-Quarantine Measures,1166.666667,1000,1500,500
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,Public Sanitation and Hygiene Campaigns,750,500,1000,500
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,Widespread Testing Initiatives,2375,2000,3000,1000
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,Comprehensive Contact Tracing Programs,1650,1500,1800,300
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,Workplace Safety Regulations,1000,1000,1000,0
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,Community Engagement and Mobilization,500,500,500,0
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,Establishment of Quarantine and Isolation Facilities,1250,1000,1500,500
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,"Enhanced Border, Airport, and Port-of-Entry Surveillance and Control",1000,1000,1000,0
91911,meta-llama/Meta-Llama-3.1-70B-Instruct,Advanced Vaccination Research,1500,1500,1500,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Widespread Testing Initiatives,1500,1500,1500,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Targeted Public Health Campaigns,1000,1000,1000,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Enforced Social Distancing Measures,1000,1000,1000,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Comprehensive Contact Tracing Programs,1100,1000,1500,500
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Establishment of Quarantine and Isolation Facilities,2000,2000,2000,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Mental Health Support Services,500,500,500,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Economic Support Programs,2500,2500,2500,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Home Isolation and Self-Quarantine Measures,500,500,500,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,School Safety and Education Continuity Measures,875,500,1000,500
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Transport Safety Enhancements,500,500,500,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Food Security and Nutrition Programs,1000,1000,1000,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Community Engagement and Mobilization,1000,1000,1000,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Sanitation and Hygiene Campaigns,500,500,500,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Remote Work and Digital Transformation,500,500,500,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Telehealth Services Expansion,500,500,500,0
91911,mistralai/Mixtral-8x7B-Instruct-v0.1,Workplace Safety Regulations,500,500,500,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,1. Widespread Testing Initiatives,1500,1500,1500,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,3. Targeted Public Health Campaigns,1200,1200,1200,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,4. Enforced Social Distancing Measures,1000,1000,1000,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,5. Comprehensive Contact Tracing Programs,800,800,800,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,7. Expansion of Healthcare Capacity,2000,2000,2000,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,10. Telehealth Services Expansion,500,500,500,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,12. Promotion of Home Isolation and Self-Quarantine Measures,600,600,600,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,16. Food Security and Nutrition Programs,800,800,800,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,18. Public Sanitation and Hygiene Campaigns,400,400,400,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,Widespread Testing Initiatives,2250,2000,3000,1000
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,Advanced Vaccination Research,2000,2000,2000,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,Targeted Public Health Campaigns,1625,1500,2000,500
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,Enforced Social Distancing Measures,1066.666667,1000,1200,200
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,Comprehensive Contact Tracing Programs,1000,800,1200,400
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,Expansion of Healthcare Capacity,1700,800,2500,1700
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,Mental Health Support Services,500,500,500,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,Telehealth Services Expansion,666.6666667,400,800,400
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,Workplace Safety Regulations,400,300,500,200
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,Promotion of Home Isolation and Self-Quarantine Measures,350,200,500,300
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,Establishment of Quarantine and Isolation Facilities,1500,1500,1500,0
91913,meta-llama/Meta-Llama-3.1-70B-Instruct,Community Engagement and Mobilization,1000,1000,1000,0
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Widespread Testing Initiatives,1500,1500,1500,0
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Targeted Public Health Campaigns,1000,1000,1000,0
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Enforced Social Distancing Measures,1200,1000,2000,1000
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Comprehensive Contact Tracing Programs,1300,1000,1500,500
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Home Isolation and Self-Quarantine Measures,1000,1000,1000,0
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,School Safety and Education Continuity Measures,1000,1000,1000,0
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Transport Safety Enhancements,625,500,1000,500
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Food Security and Nutrition Programs,1000,500,1500,1000
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Community Engagement and Mobilization,875,500,1000,500
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Sanitation and Hygiene Campaigns,500,500,500,0
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Remote Work and Digital Transformation,500,500,500,0
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Establishment of Quarantine and Isolation Facilities,2500,2500,2500,0
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Expansion of Healthcare Capacity,2000,2000,2000,0
91913,mistralai/Mixtral-8x7B-Instruct-v0.1,Mental Health Support Services,500,500,500,0
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Widespread Testing Initiatives,2300,2000,3000,1000
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Targeted Public Health Campaigns,1600,1000,2000,1000
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Establishment of Quarantine and Isolation Facilities,1500,1500,1500,0
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Expansion of Healthcare Capacity,1560,800,2000,1200
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Telehealth Services Expansion,1100,800,1500,700
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Community Engagement and Mobilization,833.3333333,500,1000,500
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Enforced Social Distancing Measures,1375,500,3000,2500
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Comprehensive Contact Tracing Programs,1200,1200,1200,0
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Promotion of Home Isolation and Self-Quarantine Measures,750,500,1000,500
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,School Safety and Education Continuity Measures,900,800,1000,200
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Public Sanitation and Hygiene Campaigns,650,500,800,300
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Promotion of Remote Work and Digital Transformation,1000,1000,1000,0
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,"Enhanced Border, Airport, and Port-of-Entry Surveillance and Control",500,500,500,0
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Public Transport Safety Enhancements,500,500,500,0
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Food Security and Nutrition Programs,500,500,500,0
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Advanced Vaccination Research,1500,1500,1500,0
91914,meta-llama/Meta-Llama-3.1-70B-Instruct,Workplace Safety Regulations,500,500,500,0
91914,mistralai/Mixtral-8x7B-Instruct-v0.1,Widespread Testing Initiatives,1500,1500,1500,0
91914,mistralai/Mixtral-8x7B-Instruct-v0.1,Targeted Public Health Campaigns,1000,1000,1000,0
91914,mistralai/Mixtral-8x7B-Instruct-v0.1,Enforced Social Distancing Measures,1000,1000,1000,0
91914,mistralai/Mixtral-8x7B-Instruct-v0.1,Comprehensive Contact Tracing Programs,1500,1500,1500,0
91914,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Home Isolation and Self-Quarantine Measures,600,500,1000,500
91914,mistralai/Mixtral-8x7B-Instruct-v0.1,School Safety and Education Continuity Measures,1000,1000,1000,0
91914,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Transport Safety Enhancements,500,500,500,0
91914,mistralai/Mixtral-8x7B-Instruct-v0.1,Food Security and Nutrition Programs,875,500,1000,500
91914,mistralai/Mixtral-8x7B-Instruct-v0.1,Community Engagement and Mobilization,600,500,1000,500
91914,mistralai/Mixtral-8x7B-Instruct-v0.1,Public Sanitation and Hygiene Campaigns,625,500,1000,500
91914,mistralai/Mixtral-8x7B-Instruct-v0.1,Promotion of Remote Work and Digital Transformation,1000,1000,1000,0
91915,meta-llama/Meta-Llama-3.1-70B-Instruct,Widespread Testing Initiatives,2300,1500,3000,1500
91915,meta-llama/Meta-Llama-3.1-70B-Instruct,Targeted Public Health Campaigns,1640,1200,2500,1300
91915,meta-llama/Meta-Llama-3.1-70B-Instruct,Enforced Social Distancing Measures,1600,1000,2000,1000
91915,meta-llama/Meta-Llama-3.1-70B-Instruct,Comprehensive Contact Tracing Programs,1675,1200,2500,1300
91915,meta-llama/Meta-Llama-3.1-70B-Instruct,Expansion of Healthcare Capacity,1360,800,2000,1200
91915,meta-llama/Meta-Llama-3.1-70B-Instruct,Telehealth Services Expansion,933.3333333,800,1000,200
91915,meta-llama/Meta-Llama-3.1-70B-Instruct,Public Transport Safety Enhancements,500,500,500,0
91915,meta-llama/Meta-Llama-3.1-70B-Instruct,Community Engagement and Mobilization,500,500,500,0
91915,meta-llama/Meta-Llama-3.1-70B-Instruct,Mental Health Support Services,1000,1000,1000,0
91915,meta-llama/Meta-Llama-3.1-70B-Instruct,Workplace Safety Regulations,1000,1000,1000,0
91915,meta-llama/Meta-Llama-3.1-70B-Instruct,Promotion of Home Isolation and Self-Quarantine Measures,500,500,500,0
91915,mistralai/Mixtral-8x7B-Instruct-v0.1,Widespread Testing Initiatives,1500,1500,1500,0
